"Gene","GeneName"
"LOC100577080","PREDICTED: uncharacterized protein LOC100577080"
"LOC100577110","PREDICTED: uncharacterized protein LOC100577110"
"LOC100577150","PREDICTED: uncharacterized protein LOC100577150"
"LOC100577288","PREDICTED: nudC domain-containing protein 1"
"LOC100577408","PREDICTED: leukocyte elastase inhibitor-like"
"LOC725439","PREDICTED: uncharacterized protein LOC725439"
"LOC100577933","PREDICTED: uncharacterized protein LOC100577933"
"LOC100578713","PREDICTED: uncharacterized protein LOC100578713"
"LOC725595","PREDICTED: spermatogenesis-defective protein 39 homolog"
"LOC100576271","PREDICTED: dentin sialophosphoprotein-like"
"LOC100576902","PREDICTED: uncharacterized protein LOC100576902"
"LOC408391","PREDICTED: AP-1 complex subunit mu-1"
"LOC100577561","PREDICTED: uncharacterized protein LOC100577561"
"LOC100577988","PREDICTED: uncharacterized protein PFB0145c-like"
"LOC725178","PREDICTED: chitooligosaccharidolytic beta-N-acetylglucosaminidase"
"LOC726197","PREDICTED: autophagy-related protein 101"
"LOC552235","PREDICTED: histone-lysine N-methyltransferase E(z)"
"LOC100579026","PREDICTED: uncharacterized protein LOC100579026"
"LOC552173","PREDICTED: kinesin-like protein costa"
"LOC100576702","PREDICTED: uncharacterized protein LOC100576702"
"LOC100576935","PREDICTED: uncharacterized protein LOC100576935"
"LOC100577151","PREDICTED: uncharacterized protein LOC100577151"
"LOC726941","PREDICTED: ATP-binding cassette sub-family A member 2-like"
"LOC100578625","PREDICTED: tetra-peptide repeat homeobox protein 1-like"
"LOC100578699","PREDICTED: uncharacterized protein LOC100578699"
"LOC100578774","PREDICTED: LOW QUALITY PROTEIN: centrosomal protein of 164 kDa"
"LOC100579047","PREDICTED: adult-specific cuticular protein ACP-22"
"LOC100576161","PREDICTED: uncharacterized protein LOC100576161"
"LOC100576192","PREDICTED: uncharacterized protein LOC100576192"
"LOC100578130","PREDICTED: uncharacterized protein LOC100578130"
"LOC100578860","PREDICTED: zinc finger protein 512B-like"
"LOC409019","PREDICTED: plasmolipin-like"
"LOC100577369","PREDICTED: HEAT repeat-containing protein 6"
"LOC100577454","PREDICTED: coiled-coil domain-containing protein 91-like"
"LOC100578513","PREDICTED: KIF1-binding protein homolog"
"LOC411619","PREDICTED: double-strand-break repair protein rad21 homolog"
"LOC100576272","PREDICTED: tRNA-splicing endonuclease subunit Sen34"
"LOC413440","PREDICTED: protein kibra"
"LOC100577441","PREDICTED: uncharacterized protein LOC100577441"
"LOC412864","PREDICTED: FUN14 domain-containing protein 1"
"LOC100578215","PREDICTED: N-acetylgalactosaminyltransferase 6-like"
"LOC100578810","PREDICTED: facilitated trehalose transporter Tret1-2 homolog"
"LOC411068","PREDICTED: kinesin-like protein KIF21A"
"LOC725170","PREDICTED: cytochrome c oxidase assembly factor 5"
"LOC100577000","PREDICTED: eukaryotic translation elongation factor 1 epsilon-1"
"LOC100577231","PREDICTED: uncharacterized protein LOC100577231"
"LOC100576903","PREDICTED: leucine-rich repeat-containing protein 15-like"
"LOC100576956","PREDICTED: metalloproteinase inhibitor 3"
"LOC100577359","PREDICTED: uncharacterized protein LOC100577359"
"LOC100577381","PREDICTED: uncharacterized protein LOC100577381"
"LOC552121","PREDICTED: N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
"LOC409208","PREDICTED: LOW QUALITY PROTEIN: bumetanide-sensitive sodium-(potassium)-chloride cotransporter"
"LOC100578276","PREDICTED: uncharacterized protein LOC100578276"
"LOC100578562","PREDICTED: uncharacterized protein LOC100578562"
"LOC100578829","PREDICTED: elongation of very long chain fatty acids protein 1-like"
"LOC725653","PREDICTED: pseudouridine-5'-phosphatase-like"
"LOC552134","PREDICTED: riboflavin kinase"
"LOC552225","PREDICTED: regulator of nonsense transcripts 3B"
"LOC100578754","PREDICTED: histone demethylase UTY"
"LOC100576444","PREDICTED: chymotrypsin inhibitor"
"LOC727501","PREDICTED: gonadal protein gdl"
"LOC100577491","PREDICTED: survival motor neuron protein"
"LOC100577698","PREDICTED: uncharacterized protein LOC100577698"
"LOC100578105","PREDICTED: coiled-coil and C2 domain-containing protein 2A-like"
"LOC100578433","PREDICTED: transmembrane protein 131"
"LOC100578602","PREDICTED: Hermansky-Pudlak syndrome 5 protein homolog"
"LOC100578875","PREDICTED: beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"LOC100576162","PREDICTED: uncharacterized protein PF11_0213-like"
"LOC100576222","PREDICTED: heart- and neural crest derivatives-expressed protein 1"
"LOC100576400","PREDICTED: cilia- and flagella-associated protein 97-like"
"LOC100576568","PREDICTED: uncharacterized protein LOC100576568"
"LOC725816","PREDICTED: homocysteine S-methyltransferase YbgG-like"
"LOC100576912","PREDICTED: cyclic AMP response element-binding protein A"
"LOC100576982","PREDICTED: uncharacterized protein LOC100576982"
"LOC100577135","PREDICTED: protein amnionless-like"
"LOC100577331","PREDICTED: cell wall integrity and stress response component 1-like"
"LOC100577527","PREDICTED: uncharacterized protein LOC100577527"
"LOC100577725","PREDICTED: uncharacterized protein LOC100577725"
"LOC100578248","PREDICTED: uncharacterized serine-rich protein C215.13"
"LOC100578609","PREDICTED: uncharacterized protein LOC100578609"
"LOC100578672","PREDICTED: uncharacterized protein LOC100578672"
"LOC100578714","PREDICTED: F-box only protein 39-like"
"LOC100576163","PREDICTED: short neuropeptide F-like"
"LOC725253","PREDICTED: MICOS complex subunit MIC13-like"
"LOC409049","PREDICTED: paired amphipathic helix protein Sin3a"
"LOC726016","PREDICTED: chromosome transmission fidelity protein 8 homolog"
"LOC725880","PREDICTED: small nuclear ribonucleoprotein F"
"LOC409427","PREDICTED: peptidyl-prolyl cis-trans isomerase E-like"
"LOC100576193","PREDICTED: keratinocyte proline-rich protein-like"
"LOC726627","PREDICTED: tetratricopeptide repeat protein 19 homolog, mitochondrial-like"
"LOC100578341","PREDICTED: uncharacterized protein LOC100578341"
"LOC100576236","PREDICTED: uncharacterized protein LOC100576236"
"LOC408455","PREDICTED: zinc finger protein rotund"
"LOC100576983","PREDICTED: uncharacterized protein LOC100576983"
"LOC100577279","PREDICTED: uncharacterized protein LOC100577279"
"LOC100577840","PREDICTED: origin recognition complex subunit 1-like"
"LOC100576814","PREDICTED: uncharacterized protein LOC100576814"
"LOC100577099","PREDICTED: protein amnionless-like"
"LOC100578277","PREDICTED: U11/U12 small nuclear ribonucleoprotein 25 kDa protein-like"
"LOC100576547","PREDICTED: glucose dehydrogenase [FAD, quinone]-like"
"LOC411406","PREDICTED: zinc metalloproteinase nas-13-like"
"LOC100577585","PREDICTED: uncharacterized protein LOC100577585"
"LOC100577977","PREDICTED: uncharacterized protein LOC100577977"
"LOC100578907","PREDICTED: ankyrin repeat and protein kinase domain-containing protein 1-like"
"LOC100576126","PREDICTED: uncharacterized protein LOC100576126"
"LOC100576273","PREDICTED: uncharacterized protein LOC100576273"
"LOC409318","PREDICTED: Kv channel-interacting protein 2-like"
"LOC100576411","PREDICTED: uncharacterized protein LOC100576411"
"LOC100576529","PREDICTED: uncharacterized protein LOC100576529"
"LOC100576569","PREDICTED: uncharacterized protein LOC100576569"
"LOC100576891","PREDICTED: uncharacterized protein LOC100576891"
"LOC100577081","PREDICTED: dihydroorotate dehydrogenase (quinone), mitochondrial"
"LOC100577112","PREDICTED: astakine-like"
"LOC412478","PREDICTED: nuclear inhibitor of protein phosphatase 1"
"LOC100578924","PREDICTED: zinc finger protein 271-like"
"LOC100576432","PREDICTED: uncharacterized protein LOC100576432"
"LOC408516","PREDICTED: protein D2-like"
"LOC100577320","PREDICTED: uncharacterized protein LOC100577320"
"LOC100577551","PREDICTED: eukaryotic translation initiation factor 5B-like"
"LOC100577841","PREDICTED: carbonic anhydrase 7-like"
"LOC100578044","PREDICTED: F-box/LRR-repeat protein 7-like"
"LOC409680","PREDICTED: tubby-related protein 4"
"LOC410580","PREDICTED: fragile X mental retardation syndrome-related protein 1"
"LOC413078","PREDICTED: very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase"
"LOC727031","PREDICTED: vacuolar protein sorting-associated protein 45"
"LOC100576194","PREDICTED: forkhead box protein J1-B-like"
"LOC100576150","PREDICTED: MYCBP-associated protein-like"
"LOC408531","PREDICTED: PRADC1-like protein"
"LOC100577382","PREDICTED: targeting protein for Xklp2 homolog"
"LOC409990","PREDICTED: LOW QUALITY PROTEIN: coatomer subunit beta'"
"LOC725679","PREDICTED: sex-lethal homolog"
"LOC725312","PREDICTED: dynein light chain 2, cytoplasmic"
"LOC100576515","PREDICTED: protein KRTCAP2 homolog"
"LOC411915","PREDICTED: mitogen-activated protein kinase 14B"
"LOC100578888","PREDICTED: zinc finger protein 62 homolog"
"LOC408740","PREDICTED: phosphatase and actin regulator 4"
"LOC100576098","PREDICTED: F-box only protein 7-like"
"LOC726252","PREDICTED: titin-like"
"LOC100577178","PREDICTED: uncharacterized protein LOC100577178"
"LOC410027","PREDICTED: survival of motor neuron-related-splicing factor 30"
"LOC100578116","PREDICTED: zinc finger protein 480"
"LOC552482","PREDICTED: protoporphyrinogen oxidase"
"LOC551815","PREDICTED: putative methyltransferase C9orf114 homolog"
"LOC411483","PREDICTED: E3 UFM1-protein ligase 1 homolog"
"LOC100576460","PREDICTED: EF-hand calcium-binding domain-containing protein 1-like"
"LOC100576617","PREDICTED: uncharacterized protein LOC100576617"
"LOC100576843","PREDICTED: inner centromere protein"
"LOC409451","PREDICTED: thioredoxin-2"
"LOC724928","PREDICTED: tubulin-specific chaperone C"
"LOC100576116","PREDICTED: protein inscuteable homolog"
"LOC100576151","PREDICTED: STAGA complex 65 subunit gamma-like"
"LOC409617","PREDICTED: ADP-ribosylation factor GTPase-activating protein 2"
"LOC100577396","PREDICTED: uncharacterized protein LOC100577396"
"LOC552536","PREDICTED: LOW QUALITY PROTEIN: adipocyte plasma membrane-associated protein"
"LOC100578046","PREDICTED: probable G-protein coupled receptor Mth-like 1"
"LOC100578191","PREDICTED: uncharacterized protein LOC100578191"
"LOC100576274","PREDICTED: zinc finger protein 32"
"LOC100576392","PREDICTED: transcriptional regulator Myc-B"
"LOC100576960","PREDICTED: DNA polymerase subunit gamma-2, mitochondrial"
"LOC100577699","PREDICTED: 5-formyltetrahydrofolate cyclo-ligase"
"LOC551667","PREDICTED: glyoxylate reductase/hydroxypyruvate reductase"
"LOC100577014","PREDICTED: uncharacterized protein LOC100577014"
"LOC100577192","PREDICTED: very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2"
"LOC551666","PREDICTED: double-stranded RNA-binding protein Staufen homolog 2"
"LOC100577343","PREDICTED: uncharacterized protein LOC100577343"
"LOC550885","PREDICTED: nicotinate phosphoribosyltransferase"
"LOC100578011","PREDICTED: kinetochore protein ndc80"
"LOC100578824","PREDICTED: zinc finger protein ZIC 4-like"
"LOC100578852","PREDICTED: ribonucleases P/MRP protein subunit POP1"
"LOC100579031","PREDICTED: vascular endothelial growth factor A-A-like"
"LOC100576140","PREDICTED: uncharacterized protein LOC100576140"
"LOC726689","PREDICTED: prefoldin subunit 1"
"LOC100577727","PREDICTED: protein MANBAL"
"LOC100577901","PREDICTED: uncharacterized protein LOC100577901"
"LOC100578200","PREDICTED: uncharacterized protein LOC100578200"
"LOC100576215","PREDICTED: pancreas transcription factor 1 subunit alpha"
"LOC100577546","PREDICTED: C1GALT1-specific chaperone 1-like protein"
"LOC100578514","PREDICTED: keratinocyte proline-rich protein-like"
"LOC100578611","PREDICTED: uncharacterized protein LOC100578611"
"LOC100576165","PREDICTED: uncharacterized protein LOC100576165"
"LOC726269","PREDICTED: probable phospholipid hydroperoxide glutathione peroxidase"
"LOC552381","PREDICTED: neutral and basic amino acid transport protein rBAT"
"LOC100577967","PREDICTED: uncharacterized protein LOC100577967"
"LOC410165","PREDICTED: RNA-binding protein Nova-1"
"LOC100578106","PREDICTED: uncharacterized protein LOC100578106"
"LOC100578703","PREDICTED: uncharacterized protein LOC100578703"
"LOC100576805","PREDICTED: chromatin assembly factor 1 subunit A-B"
"LOC100577155","PREDICTED: uncharacterized protein LOC100577155"
"LOC100578776","PREDICTED: uncharacterized protein LOC100578776"
"LOC100578813","PREDICTED: uncharacterized protein LOC100578813"
"LOC100578877","PREDICTED: uncharacterized protein LOC100578877"
"LOC100576195","PREDICTED: protein ccsmst1"
"LOC725575","PREDICTED: shootin-1-like"
"LOC410744","PREDICTED: glucose dehydrogenase [FAD, quinone]"
"LOC552425","PREDICTED: glucose dehydrogenase [FAD, quinone]"
"LOC724961","PREDICTED: protein drumstick"
"LOC100577510","PREDICTED: uncharacterized protein LOC100577510"
"LOC100578168","PREDICTED: glycoprotein 3-alpha-L-fucosyltransferase A"
"LOC100578201","PREDICTED: uncharacterized protein LOC100578201"
"LOC100578526","PREDICTED: solute carrier family 35 member E2-like"
"LOC413840","PREDICTED: glucose-6-phosphate exchanger SLC37A2"
"LOC100578927","PREDICTED: transcriptional repressor protein YY1-like"
"LOC552286","PREDICTED: acetyl-CoA carboxylase"
"LOC100576619","PREDICTED: CUE domain-containing protein 2"
"LOC410370","PREDICTED: actin-binding Rho-activating protein-like"
"LOC100576227","PREDICTED: uncharacterized protein MAL13P1.304-like"
"LOC100576266","PREDICTED: uncharacterized protein LOC100576266"
"LOC100576770","PREDICTED: serine hydrolase-like protein 2"
"LOC100576961","PREDICTED: uncharacterized protein LOC100576961"
"LOC100577003","PREDICTED: uncharacterized protein LOC100577003"
"LOC100577082","PREDICTED: uncharacterized protein LOC100577082"
"LOC100578266","PREDICTED: probable deoxyhypusine synthase"
"LOC408889","PREDICTED: large proline-rich protein BAG6"
"LOC408891","PREDICTED: methyl-CpG-binding domain protein 2"
"LOC412666","PREDICTED: serine/threonine-protein phosphatase PGAM5, mitochondrial-like"
"LOC100577386","PREDICTED: ankyrin repeat and LEM domain-containing protein 2"
"LOC100578704","PREDICTED: tubulin delta chain-like"
"LOC100578816","PREDICTED: uncharacterized protein LOC100578816"
"LOC100576293","PREDICTED: zinc finger protein 182"
"LOC100576741","PREDICTED: uncharacterized protein LOC100576741"
"LOC100577156","PREDICTED: chitinase-3-like protein 1"
"LOC100577235","PREDICTED: SET and MYND domain-containing protein 4-like"
"LOC100577844","PREDICTED: uncharacterized protein LOC100577844"
"LOC100578641","PREDICTED: uncharacterized protein LOC100578641"
"LOC411091","PREDICTED: RNA-binding protein 34-like"
"LOC411095","PREDICTED: zinc transporter 7"
"LOC100576129","PREDICTED: uncharacterized protein LOC100576129"
"LOC100577362","PREDICTED: uncharacterized protein LOC100577362"
"LOC100577387","PREDICTED: uncharacterized protein LOC100577387"
"LOC100577632","PREDICTED: phosphopantothenoylcysteine decarboxylase subunit VHS3-like"
"LOC100576152","PREDICTED: uncharacterized protein LOC100576152"
"LOC100576184","PREDICTED: uncharacterized protein LOC100576184"
"LOC100576608","PREDICTED: early endosome antigen 1"
"LOC727280","PREDICTED: uncharacterized protein LOC727280"
"LOC100577938","PREDICTED: uncharacterized protein LOC100577938"
"LOC100576284","PREDICTED: uncharacterized protein LOC100576284"
"LOC100576433","PREDICTED: LOW QUALITY PROTEIN: protein DENND6A"
"LOC100576944","PREDICTED: odorant receptor 82a-like"
"LOC100576984","PREDICTED: odorant receptor 4-like"
"LOC100577101","PREDICTED: odorant receptor 4-like"
"LOC100577226","PREDICTED: odorant receptor 4-like"
"LOC100577590","PREDICTED: odorant receptor 22c"
"LOC100577634","PREDICTED: odorant receptor 85b"
"LOC100577671","PREDICTED: odorant receptor 4"
"LOC100577787","PREDICTED: odorant receptor 85b"
"LOC410874","PREDICTED: lysine-specific demethylase lid"
"LOC100578730","PREDICTED: uncharacterized protein LOC100578730"
"LOC552365","PREDICTED: protein lines"
"LOC550664","PREDICTED: desumoylating isopeptidase 2"
"LOC552189","PREDICTED: sorting nexin-17"
"LOC552682","PREDICTED: ATP synthase subunit delta, mitochondrial"
"LOC100578048","PREDICTED: uncharacterized protein LOC100578048"
"LOC100578731","PREDICTED: uncharacterized protein LOC100578731"
"LOC100578769","PREDICTED: uncharacterized protein LOC100578769"
"LOC100578797","PREDICTED: uncharacterized protein LOC100578797"
"LOC100576963","PREDICTED: zinc finger and BTB domain-containing protein 14-like"
"LOC726268","PREDICTED: uncharacterized protein LOC726268"
"LOC100577980","PREDICTED: uncharacterized protein LOC100577980"
"LOC100578316","PREDICTED: uncharacterized protein LOC100578316"
"LOC100578448","PREDICTED: uncharacterized protein LOC100578448"
"LOC100576462","PREDICTED: odorant receptor Or1-like, partial"
"LOC100576945","PREDICTED: uncharacterized protein LOC100576945"
"LOC100577069","PREDICTED: hairy/enhancer-of-split related with YRPW motif protein"
"LOC100577748","PREDICTED: uncharacterized protein LOC100577748"
"LOC100576646","PREDICTED: dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
"LOC100576742","PREDICTED: integrin beta-nu-like"
